image,annotation,debug_image,original_valid_boxes,original_ignored_rows,converted_yolo_boxes,yolo_issues
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999998_00070_d_0000055.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999998_00070_d_0000055.txt,task2/report_assets/label_debug_train/9999998_00070_d_0000055_label_debug.jpg,51,0,51,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999974_00000_d_0000013.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999974_00000_d_0000013.txt,task2/report_assets/label_debug_train/9999974_00000_d_0000013_label_debug.jpg,19,0,19,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999956_00000_d_0000103.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999956_00000_d_0000103.txt,task2/report_assets/label_debug_train/9999956_00000_d_0000103_label_debug.jpg,6,0,6,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999942_00000_d_0000145.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999942_00000_d_0000145.txt,task2/report_assets/label_debug_train/9999942_00000_d_0000145_label_debug.jpg,77,10,77,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999962_00000_d_0000043.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999962_00000_d_0000043.txt,task2/report_assets/label_debug_train/9999962_00000_d_0000043_label_debug.jpg,27,0,27,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999982_00000_d_0000027.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999982_00000_d_0000027.txt,task2/report_assets/label_debug_train/9999982_00000_d_0000027_label_debug.jpg,28,2,28,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999950_00000_d_0000036.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999950_00000_d_0000036.txt,task2/report_assets/label_debug_train/9999950_00000_d_0000036_label_debug.jpg,19,1,19,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/0000068_00460_d_0000002.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/0000068_00460_d_0000002.txt,task2/report_assets/label_debug_train/0000068_00460_d_0000002_label_debug.jpg,205,7,205,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999999_00348_d_0000153.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999999_00348_d_0000153.txt,task2/report_assets/label_debug_train/9999999_00348_d_0000153_label_debug.jpg,14,0,14,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/0000366_00197_d_0000787.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/0000366_00197_d_0000787.txt,task2/report_assets/label_debug_train/0000366_00197_d_0000787_label_debug.jpg,187,1,187,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999998_00031_d_0000024.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999998_00031_d_0000024.txt,task2/report_assets/label_debug_train/9999998_00031_d_0000024_label_debug.jpg,25,0,25,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999960_00000_d_0000011.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999960_00000_d_0000011.txt,task2/report_assets/label_debug_train/9999960_00000_d_0000011_label_debug.jpg,38,0,38,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999953_00000_d_0000121.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999953_00000_d_0000121.txt,task2/report_assets/label_debug_train/9999953_00000_d_0000121_label_debug.jpg,35,2,35,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999950_00000_d_0000034.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999950_00000_d_0000034.txt,task2/report_assets/label_debug_train/9999950_00000_d_0000034_label_debug.jpg,18,2,18,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/0000352_05489_d_0000567.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/0000352_05489_d_0000567.txt,task2/report_assets/label_debug_train/0000352_05489_d_0000567_label_debug.jpg,111,0,111,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999942_00000_d_0000103.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999942_00000_d_0000103.txt,task2/report_assets/label_debug_train/9999942_00000_d_0000103_label_debug.jpg,13,0,13,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999999_00432_d_0000191.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999999_00432_d_0000191.txt,task2/report_assets/label_debug_train/9999999_00432_d_0000191_label_debug.jpg,56,1,56,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999953_00000_d_0000091.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999953_00000_d_0000091.txt,task2/report_assets/label_debug_train/9999953_00000_d_0000091_label_debug.jpg,6,0,6,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/0000281_01401_d_0000635.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/0000281_01401_d_0000635.txt,task2/report_assets/label_debug_train/0000281_01401_d_0000635_label_debug.jpg,61,2,61,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/0000261_05775_d_0000140.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/0000261_05775_d_0000140.txt,task2/report_assets/label_debug_train/0000261_05775_d_0000140_label_debug.jpg,74,9,74,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/9999955_00000_d_0000213.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/9999955_00000_d_0000213.txt,task2/report_assets/label_debug_train/9999955_00000_d_0000213_label_debug.jpg,106,0,106,
task2/data/VisDrone2019-DET/VisDrone2019-DET-train/images/0000264_04401_d_0000216.jpg,task2/data/VisDrone2019-DET/VisDrone2019-DET-train/annotations/0000264_04401_d_0000216.txt,task2/report_assets/label_debug_train/0000264_04401_d_0000216_label_debug.jpg,13,3,13,
